Symbol,url
HD,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/hd_10kx02032019.htm
HON,https://www.sec.gov/Archives/edgar/data/773840/000077384020000009/hon1231201910k.htm
HRL,https://www.sec.gov/Archives/edgar/data/48465/000004846519000057/hormel201910k.htm
HST,https://www.sec.gov/Archives/edgar/data/1061937/000156459020006404/hst-10k_20191231.htm
HWM,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/form10k4q19.htm
HPQ,https://www.sec.gov/Archives/edgar/data/47217/000120677420000632/hpq3726921-10ka.htm
HUM,https://www.sec.gov/Archives/edgar/data/49071/000004907120000032/hum-20191231x10k.htm
HBAN,https://www.sec.gov/Archives/edgar/data/49196/000004919620000010/hban2019-12x31x10k.htm
HII,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm
IEX,https://www.sec.gov/Archives/edgar/data/832101/000083210120000007/iex-20191231x10k.htm
IDXX,https://www.sec.gov/Archives/edgar/data/874716/000087471620000006/idxx201910k.htm
INFO,https://www.sec.gov/Archives/edgar/data/1598014/000159801420000008/q41910k.htm
ITW,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/itw-20191231x10k.htm
ILMN,https://www.sec.gov/Archives/edgar/data/1110803/000111080320000018/form10-k2019classic.htm
INCY,https://www.sec.gov/Archives/edgar/data/879169/000155837020000774/incy-20191231x10k6c65b7.htm
IR,https://www.sec.gov/Archives/edgar/data/1699150/000114036120004146/form10k.htm
INTC,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm
ICE,https://www.sec.gov/Archives/edgar/data/1571949/000157194920000003/ice2019123110k.htm
IBM,https://www.sec.gov/Archives/edgar/data/51143/000155837020001334/ibm-20191231x10k2af531.htm
IP,https://www.sec.gov/Archives/edgar/data/51434/000005143420000011/a10-k123119.htm
IPG,https://www.sec.gov/Archives/edgar/data/51644/000005164420000013/ipg12311910k.htm
IFF,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/iff10k2018.htm
INTU,https://www.sec.gov/Archives/edgar/data/896878/000089687819000132/fy19q410-kdocument.htm
ISRG,https://www.sec.gov/Archives/edgar/data/1035267/000103526720000032/isrg-20191231.htm
IVZ,https://www.sec.gov/Archives/edgar/data/914208/000091420819000195/a201810-k.htm
IPGP,https://www.sec.gov/Archives/edgar/data/1111928/000111192820000030/ipgp-20191231.htm
IQV,https://www.sec.gov/Archives/edgar/data/1478242/000156459020004901/iqv-10k_20191231.htm
IRM,https://www.sec.gov/Archives/edgar/data/1020569/000102056920000029/irm201910k.htm
JKHY,https://www.sec.gov/Archives/edgar/data/779152/000077915219000048/jkhy-20190630x10k.htm
J,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/jecfy201910-k1.htm
JBHT,https://www.sec.gov/Archives/edgar/data/728535/000143774919003134/jbht20181231_10k.htm
SJM,https://www.sec.gov/Archives/edgar/data/91419/000009141919000005/sjm43019-10k.htm
JNJ,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm
JCI,https://www.sec.gov/Archives/edgar/data/833444/000083344419000051/jciplc201910-k.htm
JPM,https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm
JNPR,https://www.sec.gov/Archives/edgar/data/1043604/000104360420000021/jnpr-10k20191231.htm
KSU,https://www.sec.gov/Archives/edgar/data/54480/000005448020000015/kcs1231201910k.htm
K,https://www.sec.gov/Archives/edgar/data/55067/000162828020002113/k-2019q410xk.htm
KEY,https://www.sec.gov/Archives/edgar/data/91576/000009157620000007/key-123119x10k.htm
KEYS,https://www.sec.gov/Archives/edgar/data/1601046/000160104619000110/keys-10312019x10k.htm
KMB,https://www.sec.gov/Archives/edgar/data/55785/000005578520000016/kmb2019form10k.htm
KIM,https://www.sec.gov/Archives/edgar/data/879101/000143774920003500/kim20191231_10k.htm
KMI,https://www.sec.gov/Archives/edgar/data/1506307/000150630720000022/kmi-2019x10k.htm
KLAC,https://www.sec.gov/Archives/edgar/data/319201/000031920119000031/klac10k2019.htm
KHC,https://www.sec.gov/Archives/edgar/data/1637459/000163745920000027/form10-k2019.htm
KR,https://www.sec.gov/Archives/edgar/data/56873/000155837019002756/kr-20190202x10k.htm
LB,https://www.sec.gov/Archives/edgar/data/701985/000070198519000015/lb22201910k.htm
LHX,https://www.sec.gov/Archives/edgar/data/202058/000020205819000090/hrs628201910-k.htm
LH,https://www.sec.gov/Archives/edgar/data/920148/000092014820000011/lh10-k2019.htm
LRCX,https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/lrcx10k2019document.htm
LW,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/lw-20190526x10k.htm
LVS,https://www.sec.gov/Archives/edgar/data/1300514/000130051420000011/lvs-20191231x10k.htm
LEG,https://www.sec.gov/Archives/edgar/data/58492/000005849220000002/leg201910k.htm
LDOS,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/ldos01032020form10-k.htm
LEN,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/len-20191130x10k.htm
LLY,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/lly-20191231x10xk.htm
LNC,https://www.sec.gov/Archives/edgar/data/59558/000005955820000012/lnc-20191231x10k.htm
LIN,https://www.sec.gov/Archives/edgar/data/1707925/000162828019003050/plc201810-k.htm
LYV,https://www.sec.gov/Archives/edgar/data/1335258/000133525820000028/lyv-20191231.htm
LKQ,https://www.sec.gov/Archives/edgar/data/1065696/000106569620000008/lkq-2019123110k.htm
LMT,https://www.sec.gov/Archives/edgar/data/936468/000093646820000016/lmtq4201910k.htm
L,https://www.sec.gov/Archives/edgar/data/60086/000119312520031657/d816698d10k.htm
LOW,https://www.sec.gov/Archives/edgar/data/60667/000006066719000042/form10k_02012019.htm
LUMN,https://www.sec.gov/Archives/edgar/data/18926/000001892620000009/ctl2019123110k.htm
LYB,https://www.sec.gov/Archives/edgar/data/1489393/000148939320000009/a2019q410k.htm
MTB,https://www.sec.gov/Archives/edgar/data/36270/000156459020005365/mtb-10k_20191231.htm
MRO,https://www.sec.gov/Archives/edgar/data/101778/000010177820000023/mro-20191231x10k2019.htm
