,gvkey,lpermno,datadate,fyear,tic,sic,sic3,td,long_debt_dum,me,l_a,l_sale,div_d,age,atr,smalltaxlosscarry,largetaxlosscarry,l_emp,l_ppent,l_laborratio,Inv,Ch_Cash,Div,Ch_Debt,Ch_Eqty,Ch_WC,CF,td_a,td_mv,mb,prof_a,ppe_a,cash_a,xrd_a,dltt_a,invopps_FG09,sales_g,dv_a,short_debt
3180,180413,92728.0,2019-09-30,2019.0,DL,8200.0,820.0,38.502,0.0,183.19939,5.873103,5.3557463,0.0,0.0,0.27645957,,,1.1734105,3.6618936,2.832528,0.07051639,0.06690024,0.0,-0.067797944,0.0,-0.12902771,0.20521456,0.10834951,0.17366603,1.3105906,0.094062194,0.10675391,0.36148304,0.0,0.0,0.5837453,,0.0,1.0
3181,180464,17250.0,2019-12-31,2019.0,LAC,1400.0,140.0,149.95,1.0,373.7469,5.9429803,,0.0,0.0,0.02612575,,,0.28065747,5.3571854,6.4794717,0.028443666,0.14298984,0.0,0.22411689,0.0019340329,-0.013847886,-0.054617405,0.39349827,0.28632975,1.4374847,-0.06376011,0.55403876,0.28459674,0.0,0.3934983,1.3665874,,0.0,0.0
3182,180466,92729.0,2019-12-31,2019.0,JBT,3550.0,355.0,731.5,1.0,3567.6042,7.5574207,7.573377,1.0,0.0,0.2252846,1.0,0.0,2.00148,5.6947417,3.8350744,0.20977597,-0.0018277717,0.0066322,0.16267169,-0.0035510994,0.06971643,0.055459812,0.3820043,0.17015173,2.5656714,0.15248838,0.15473393,0.02062771,0.0148832835,0.37631208,,,0.0066322,0.014900888
3183,180474,13305.0,2019-03-31,2018.0,RXN,3560.0,356.0,1238.0,1.0,2635.7278,8.089391,7.626034,1.0,0.0,0.22029702,0.0,1.0,2.0412204,5.9506426,4.0459275,0.016351197,0.022977576,0.0071172197,-0.03012547,0.0014418504,0.004847072,0.07512961,0.37978956,0.3195888,1.431674,0.1256864,0.11749548,0.089732185,0.00500046,0.3794214,1.1481884,,0.0071172193,0.00096930534
3184,180483,13604.0,2019-09-30,2019.0,BERY,3080.0,308.0,11365.0,1.0,5195.421,9.709235,9.0913315,0.0,0.0,0.1755102,0.0,1.0,3.8918202,8.458504,4.587091,0.3795616,0.022405732,0.0,0.33821118,-0.0011536827,-0.0062541743,0.06490983,0.6900844,0.6862748,1.2172215,0.08834781,0.28623474,0.045540106,0.003036007,0.6837695,0.95440835,,0.0,0.009150902
3185,180562,93384.0,2019-12-31,2019.0,RRTS,4731.0,473.0,403.667,1.0,348.7827,6.50787,7.521785,0.0,0.0,1.0,0.0,1.0,1.5260563,5.6296334,4.3451033,-0.09084915,-0.009549566,0.0,-0.26852593,0.6686083,0.025323799,-0.16487543,0.60213125,0.5364704,1.436981,-0.1019933,0.41402334,0.0071256286,0.0,0.50414306,1.0416956,,0.0,0.16273563
3186,180646,92782.0,2019-12-31,2019.0,MYRG,1623.0,162.0,190.386,1.0,542.5909,6.9155955,7.635864,0.0,0.0,0.27404752,0.0,0.0,2.091864,5.343778,3.378894,0.13245444,0.004851811,0.0,0.07424661,-0.00043358724,0.02218538,0.063493244,0.18889917,0.25974354,1.1767288,0.0979798,0.20667526,0.012300185,0.0,0.17294773,0.70446646,,0.0,0.08444423
3187,180683,12527.0,2019-06-30,2019.0,IBIO,2836.0,283.0,24.884,1.0,14.267616,3.4205425,0.71000427,0.0,0.0,1.0,0.0,1.0,0.053540766,3.2339613,6.0941854,0.03236775,-0.37641403,0.0,-0.006440855,0.1245341,-0.042306937,-0.46213955,0.81357485,0.6355804,1.3859483,-0.4526254,0.7970967,0.14454326,0.17897077,0.8066109,1.251671,,0.0,0.008559717
3188,180690,92986.0,2019-06-30,2019.0,RCON,3533.0,353.0,3.14,1.0,16.77869,3.1293886,2.701965,0.0,0.0,1.0,,,0.12133229,1.5407307,3.3475895,0.086307965,-0.26001748,0.0,0.018460192,0.0,0.19545056,-0.19216974,0.13735783,0.15764089,1.1248771,-0.14728785,0.16045494,0.028783903,0.019947506,0.052230973,0.79540753,,0.0,0.6197452
3189,180711,93002.0,2019-10-31,2019.0,AVGO,3674.0,367.0,32798.0,1.0,116554.3,11.11978,10.025573,1.0,0.0,0.0,1.0,0.0,2.9957323,7.8501034,4.905275,0.22849777,0.011304876,0.06274725,0.1960796,-0.03667047,0.0032595973,0.14314076,0.48594669,0.21960157,2.357375,0.15280104,0.03800394,0.074896656,0.06957758,0.4446535,2.2459855,,0.06274725,0.08497469
3190,180822,92797.0,2019-12-31,2019.0,MHH,7361.0,736.0,29.974,1.0,122.37885,4.5062776,5.26566,0.0,0.0,0.2676917,0.0,0.0,0.9419585,2.0909996,1.5112226,0.0097037,0.018623598,0.0,-0.14959595,0.0017883953,-0.05555065,0.17613485,0.3308973,0.19674066,1.8400915,0.15722424,0.07830301,0.03290868,0.0,0.26498058,1.667403,,0.0,0.19920598
3191,180866,14820.0,2019-12-31,2019.0,MYOS,2834.0,283.0,1.351,1.0,11.10417,1.1111994,0.031498667,0.0,0.0,1.0,0.0,1.0,0.014888613,0.25386673,2.9583764,0.0,0.016129032,0.0,0.11685319,0.6784069,-0.37192515,-0.77913105,0.44470045,0.10846901,4.266679,-1.2564187,0.09512837,0.02106649,0.04772877,0.048057932,3.951231,,0.0,0.89193195
3192,180905,92913.0,2019-12-31,2019.0,RST,7370.0,737.0,7.01,1.0,436.4484,5.3038373,5.207856,0.0,0.0,1.0,0.0,1.0,0.7640715,3.8301404,3.6710448,0.076426975,0.024315413,0.0,-0.00220778,0.01768213,-0.045189876,0.08526804,0.03485707,0.01580757,3.250744,0.011153267,0.22410458,0.21413477,0.12187542,0.025265157,2.1366444,,0.0,0.2751783
3193,181104,87078.0,2019-12-31,2019.0,MDRX,7370.0,737.0,1033.895,1.0,1594.6921,8.072698,7.479682,0.0,0.0,1.0,0.0,1.0,2.360854,5.2330265,2.9659119,0.0502399,-0.014741063,0.0,0.08190186,-0.037041694,0.0295807,-0.009361336,0.3225138,0.39332727,1.0965469,0.07890692,0.058132928,0.042903993,0.07939168,0.20157942,0.8251297,,0.0,0.37497425
